use_other,textualizer,encoder,source,target,setting,balanced_accuracy,family
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.6556123686197891,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.8525679425667668,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.5227871196007381,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.3070821599792482,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.3067322342422744,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.4647207368084559,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.44390854276420766,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.3335641764213193,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.4372827925012391,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.6274181926517152,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.7781443233250462,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.4967936699891111,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.6628658495747103,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.8498803252146961,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.45763073355827616,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.4197869021026132,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.3616404557167609,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.46090174287828123,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.31372549019607837,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.26775755347183916,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.5859524847428074,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.587317869094386,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.6376555065023223,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.5102284640064294,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.6516776020267946,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.852646921526772,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.24711396562116775,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.5999012640810266,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.4396719008164791,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.33317608054158115,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.42460415212054176,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.37577044711296004,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.33323759188592583,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.27442164993452633,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.479044448923967,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.39156295298416643,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.35498072743816955,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.6960650349413583,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.4707042048595955,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.28742431905029386,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.2744986954826312,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.4560095064319659,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.33201175206924877,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.24576004576004576,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.5385947841044928,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.6424324305598859,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.7912856057434371,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.45247419749846934,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.6510430740024804,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.8535683427268309,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.CASA,in_domain,0.7259181690933298,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.CASM,in_domain,0.466663964115344,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.ORDA,in_domain,0.8927448394414395,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.ORDB,in_domain,0.8282485706754209,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASA,TestBed.CASA,in_domain,0.7704515611810696,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASM,TestBed.CASM,in_domain,0.5339415298530678,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDA,TestBed.ORDA,in_domain,0.7979858832273748,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDB,TestBed.ORDB,in_domain,0.7684867680564754,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASA,TestBed.CASA,in_domain,0.7437401615963926,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASM,TestBed.CASM,in_domain,0.5989156727238107,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDA,TestBed.ORDA,in_domain,0.8685427535437892,summarized
True,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDB,TestBed.ORDB,in_domain,0.8608852890264249,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASA,TestBed.CASA,in_domain,0.7430352862104469,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASM,TestBed.CASM,in_domain,0.5173076938778476,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDA,TestBed.ORDA,in_domain,0.8268687888213246,summarized
True,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDB,TestBed.ORDB,in_domain,0.8822689790848139,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASA,TestBed.CASA,in_domain,0.5766020381995034,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASM,TestBed.CASM,in_domain,0.3248424804489599,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDA,TestBed.ORDA,in_domain,0.6887550489882829,summarized
True,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDB,TestBed.ORDB,in_domain,0.6832708784516013,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASA,TestBed.CASA,in_domain,0.7337710092699352,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASM,TestBed.CASM,in_domain,0.5392400490998871,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDA,TestBed.ORDA,in_domain,0.8155584019083983,summarized
True,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDB,TestBed.ORDB,in_domain,0.7697308693005767,summarized
