use_other,textualizer,encoder,source,target,setting,balanced_accuracy,family
False,DhekaneTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.5774159216687953,summarized
False,DhekaneTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.7882071830867011,summarized
False,DhekaneTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.6081801928155365,summarized
False,DhekaneTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.6537249893571734,summarized
False,DhekaneTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9830390850544082,summarized
False,DhekaneTextualSummary,Word2VecVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.5766283524904213,summarized
False,DhekaneTextualSummary,Word2VecVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.5949367088607594,summarized
False,DhekaneTextualSummary,Word2VecVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.5682714039340545,summarized
False,DhekaneTextualSummary,Word2VecVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.5764509074291683,summarized
False,DhekaneTextualSummary,Word2VecVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.8143459915611814,summarized
False,DhekaneTextualSummary,Word2VecVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.7271876293964649,summarized
False,DhekaneTextualSummary,Word2VecVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.6664210985178727,summarized
False,DhekaneTextualSummary,Word2VecVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.6265857811834824,summarized
False,DhekaneTextualSummary,Word2VecVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.7385008502478382,summarized
False,DhekaneTextualSummary,Word2VecVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.7203772285609593,summarized
False,DhekaneTextualSummary,Word2VecVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.618497232865049,summarized
False,DhekaneTextualSummary,Word2VecVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.8143459915611814,summarized
False,TDOSTPlainBasic,SentenceTransformersVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.7064069816943381,summarized
False,TDOSTPlainBasic,SentenceTransformersVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.5704236391425324,summarized
False,TDOSTPlainBasic,SentenceTransformersVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.5508918557111327,summarized
False,TDOSTPlainBasic,SentenceTransformersVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.5689499281890585,summarized
False,TDOSTPlainBasic,SentenceTransformersVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.5,summarized
False,TDOSTPlainBasic,SentenceTransformersVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.3753661291813903,summarized
False,TDOSTPlainBasic,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7313513513513514,summarized
False,TDOSTPlainBasic,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.6017028522775649,summarized
False,TDOSTPlainBasic,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.7492408070721325,summarized
False,TDOSTPlainBasic,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.8711857018308631,summarized
False,TDOSTPlainBasic,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.6949340144742444,summarized
False,TDOSTPlainBasic,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9915611814345991,summarized
False,TDOSTPlainBasic,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.6554704129416774,summarized
False,TDOSTPlainBasic,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.7184661206254653,summarized
False,TDOSTPlainBasic,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.7602051449039401,summarized
False,TDOSTPlainBasic,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.6273188511091737,summarized
False,TDOSTPlainBasic,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.8143459915611814,summarized
False,TDOSTPlainBasic,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.7592939324867035,summarized
False,TDOSTPlainBasic,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7881429816913688,summarized
False,TDOSTPlainBasic,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.7076415495955727,summarized
False,TDOSTPlainBasic,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.9319495198009253,summarized
False,TDOSTPlainBasic,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.532027027027027,summarized
False,TDOSTPlainBasic,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.7543635589612601,summarized
False,TDOSTPlainBasic,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9831223628691984,summarized
False,TDOSTPlainBasic,Word2VecVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.6947424435930184,summarized
False,TDOSTPlainBasic,Word2VecVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.5125837676842889,summarized
False,TDOSTPlainBasic,Word2VecVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.6701099895075799,summarized
False,TDOSTPlainBasic,Word2VecVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.6757422745325972,summarized
False,TDOSTPlainBasic,Word2VecVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.8122362869198313,summarized
False,TDOSTPlainBasic,Word2VecVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.703427222403126,summarized
False,TDOSTPlainBasic,Word2VecVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7385033420517292,summarized
False,TDOSTPlainBasic,Word2VecVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.7661770966368667,summarized
False,TDOSTPlainBasic,Word2VecVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.9531966705661484,summarized
False,TDOSTPlainBasic,Word2VecVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.6205754141238012,summarized
False,TDOSTPlainBasic,Word2VecVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.7523414218816518,summarized
False,TDOSTPlainBasic,Word2VecVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9831223628691984,summarized
False,TDOSTPlainTemporal,SentenceTransformersVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.6840464027245637,summarized
False,TDOSTPlainTemporal,SentenceTransformersVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.5646412195791042,summarized
False,TDOSTPlainTemporal,SentenceTransformersVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.4587024373771362,summarized
False,TDOSTPlainTemporal,SentenceTransformersVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.6461711711711712,summarized
False,TDOSTPlainTemporal,SentenceTransformersVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.5,summarized
False,TDOSTPlainTemporal,SentenceTransformersVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.41379300987734724,summarized
False,TDOSTPlainTemporal,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7183783783783784,summarized
False,TDOSTPlainTemporal,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.5601532567049808,summarized
False,TDOSTPlainTemporal,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.7856568415805363,summarized
False,TDOSTPlainTemporal,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.9665911072362686,summarized
False,TDOSTPlainTemporal,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.638888888888889,summarized
False,TDOSTPlainTemporal,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9915611814345991,summarized
False,TDOSTPlainTemporal,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.5455087271179225,summarized
False,TDOSTPlainTemporal,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.6285714285714286,summarized
False,TDOSTPlainTemporal,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.6046913178238479,summarized
False,TDOSTPlainTemporal,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.6658699021602248,summarized
False,TDOSTPlainTemporal,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.7134524695954331,summarized
False,TDOSTPlainTemporal,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.7853250841202648,summarized
False,TDOSTPlainTemporal,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7840889276373147,summarized
False,TDOSTPlainTemporal,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.7129203916560239,summarized
False,TDOSTPlainTemporal,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.903104409630514,summarized
False,TDOSTPlainTemporal,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.7839087474571345,summarized
False,TDOSTPlainTemporal,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.7508514261387824,summarized
False,TDOSTPlainTemporal,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.980929380413058,summarized
False,TDOSTPlainTemporal,Word2VecVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.6872392507449979,summarized
False,TDOSTPlainTemporal,Word2VecVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.5243484735666419,summarized
False,TDOSTPlainTemporal,Word2VecVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.6271470265446168,summarized
False,TDOSTPlainTemporal,Word2VecVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.6801717039620265,summarized
False,TDOSTPlainTemporal,Word2VecVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.5295358649789029,summarized
False,TDOSTPlainTemporal,Word2VecVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.48173776185824385,summarized
False,TDOSTPlainTemporal,Word2VecVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7097646033129904,summarized
False,TDOSTPlainTemporal,Word2VecVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.7006385696040868,summarized
False,TDOSTPlainTemporal,Word2VecVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.921122427648532,summarized
False,TDOSTPlainTemporal,Word2VecVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.527972972972973,summarized
False,TDOSTPlainTemporal,Word2VecVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.5831204767986377,summarized
False,TDOSTPlainTemporal,Word2VecVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.6476793248945147,summarized
False,TDOSTSeqBasic,SentenceTransformersVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.5902937420178799,sequential
False,TDOSTSeqBasic,SentenceTransformersVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.4499902026100247,sequential
False,TDOSTSeqBasic,SentenceTransformersVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.2411536838042862,sequential
False,TDOSTSeqBasic,SentenceTransformersVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.7493618618618618,sequential
False,TDOSTSeqBasic,SentenceTransformersVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.5769421692727724,sequential
False,TDOSTSeqBasic,SentenceTransformersVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.5258193936908796,sequential
False,TDOSTSeqBasic,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.9807477603831039,sequential
False,TDOSTSeqBasic,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.49182630906768826,sequential
False,TDOSTSeqBasic,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.7835477043308368,sequential
False,TDOSTSeqBasic,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.8369267654751527,sequential
False,TDOSTSeqBasic,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.7212005108556833,sequential
False,TDOSTSeqBasic,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9810126582278481,sequential
False,TDOSTSeqBasic,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.5125585355470412,sequential
False,TDOSTSeqBasic,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.43023082650781835,sequential
False,TDOSTSeqBasic,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.33711108699060505,sequential
False,TDOSTSeqBasic,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.43866366366366366,sequential
False,TDOSTSeqBasic,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.5846984363365598,sequential
False,TDOSTSeqBasic,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.5714267480331737,sequential
False,TDOSTSeqBasic,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7006756756756757,sequential
False,TDOSTSeqBasic,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.5484887186036612,sequential
False,TDOSTSeqBasic,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.7838313212811204,sequential
False,TDOSTSeqBasic,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.682027027027027,sequential
False,TDOSTSeqBasic,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.749808429118774,sequential
False,TDOSTSeqBasic,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9810126582278481,sequential
False,TDOSTSeqBasic,Word2VecVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.627085994040017,sequential
False,TDOSTSeqBasic,Word2VecVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.4152153466316573,sequential
False,TDOSTSeqBasic,Word2VecVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.34559233932727906,sequential
False,TDOSTSeqBasic,Word2VecVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.7121781669467504,sequential
False,TDOSTSeqBasic,Word2VecVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.7387068751551253,sequential
False,TDOSTSeqBasic,Word2VecVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.6015960739856322,sequential
False,TDOSTSeqBasic,Word2VecVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7,sequential
False,TDOSTSeqBasic,Word2VecVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.3264000154804752,sequential
False,TDOSTSeqBasic,Word2VecVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.7088318237916632,sequential
False,TDOSTSeqBasic,Word2VecVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.6216216216216216,sequential
False,TDOSTSeqBasic,Word2VecVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.7457428693060878,sequential
False,TDOSTSeqBasic,Word2VecVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9810126582278481,sequential
False,TDOSTSeqTemporal,SentenceTransformersVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.5407088122605362,sequential
False,TDOSTSeqTemporal,SentenceTransformersVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.4337027415896405,sequential
